Order ID,Order Date,Region,City,Product Category,Customer Segment,Sales,Profit,Quantity,Discount
63c3bfc2-752f-4c3f-878b-68724ae30039,2024-03-06,East India,Nagpur,Apparel,Individual,30814.49,6438.96,31,0.27
f12f47d4-95de-46d4-b3e8-71ab84f6aa01,2024-07-09,Central India,Bhubaneswar,Books,Corporate,19510.79,13269.99,22,0.28
79d3d628-5319-4b9b-82ef-9e06618b4972,2023-07-10,East India,Patna,Electronics,Corporate,32259.42,943.33,24,0.18
673031df-187d-400b-afe7-b7c8c34231c6,2024-04-29,North India,Bhopal,Apparel,Individual,30621.25,,28,
9e9a4b70-46d4-48b1-9d89-153d7e0df118,2023-10-01,East India,Chennai,Electronics,Individual,31275.92,19237.84,26,0.11
fdb5aacc-d933-4e9f-8b5f-7fdb6a215c01,2023-05-12,East India,Bhopal,Apparel,Individual,38131.32,9612.38,24,0.2
e119541e-417e-48b4-88ce-8f30e1bd16cb,2023-05-27,Central India,Guwahati,Groceries,Individual,20001.33,6105.4,3,0.02
922c74af-1873-4d5d-8060-6f5847169006,2023-10-27,Central India,Guwahati,Electronics,Corporate,38921.61,3861.26,24,0.06
146734cd-c841-46c9-8576-a89edae63f73,2024-03-26,South India,Surat,Electronics,Retail,37595.59,16183.79,11,0.06
ed0432a5-0017-4f7b-b4a1-5b4a6e289604,2024-05-14,East India,Guwahati,Groceries,Corporate,4241.15,12277.51,49,0.24
ed99894a-4f70-4765-9289-bc607a94fcb5,2024-12-05,West India,Raipur,Books,Retail,28036.04,10797.06,26,0.26
e584e20b-25bc-487f-9ed3-2c91ce0c4549,2024-04-25,North India,Surat,Books,Retail,45461.06,13624.14,2,0.15
9f60d8ab-7356-4c13-85e4-ab42c8c0aa4a,2023-10-22,North India,Surat,Apparel,Retail,43557.32,9397.07,11,0.15
a2280f10-9a90-453d-b705-ee6017ddcd6e,2024-02-02,East India,Guwahati,Home Appliances,Corporate,30975.6,12492.37,14,0.05
91dfc3a3-6e49-45e5-903e-30f824d8e0c5,2024-11-19,North India,Guwahati,Apparel,Corporate,13150.6,,41,
4c532ea7-f4fc-4b6f-b0ca-08289b48accf,2023-07-09,South India,Mumbai,Apparel,Corporate,8558.93,8807.89,3,0.12
79e72c7e-649b-4e68-9048-9fbe8a24ff77,2023-09-01,Central India,Bhubaneswar,Home Appliances,Individual,43142.91,2949.17,47,0.2
adda257c-4ac1-49d0-bf7c-35342b766bd2,2023-05-28,Central India,Patna,Groceries,Corporate,30538.05,17617.74,10,0.02
